,start,valley,end,days,max drawdown,99% max drawdown
13,2017-12-17,2018-12-15,2020-11-24,1073,-83.18705353076483,-82.02292246210737
28,2021-04-14,2021-07-20,2021-10-19,188,-53.141407786079434,-50.63488792764452
30,2021-11-09,2022-01-22,2022-04-26,168,-48.06221559957131,-46.02760158594127
4,2017-09-02,2017-09-14,2017-10-12,40,-34.04179188444046,-25.626950656785752
19,2021-01-09,2021-01-27,2021-02-08,30,-25.17484619719531,-23.9822722970637
25,2021-02-22,2021-02-28,2021-03-11,17,-21.37818447663824,-19.68720001212363
8,2017-11-05,2017-11-12,2017-11-16,11,-21.014558745373513,-15.115215390867853
27,2021-03-14,2021-03-25,2021-04-13,30,-16.17073108150092,-14.52030360661557
12,2017-12-08,2017-12-09,2017-12-15,7,-11.705102717031146,-10.235676848002894
29,2021-10-21,2021-10-27,2021-11-08,18,-11.496678631562574,-8.594664871553515
14,2020-11-25,2020-11-27,2020-11-30,5,-10.545349402218463,-10.493418322850545
6,2017-10-22,2017-10-24,2017-10-29,7,-9.094485117768226,-5.559861708854985
15,2020-12-01,2020-12-11,2020-12-16,15,-8.424811902190665,-7.3174731555397
0,2017-08-18,2017-08-21,2017-08-24,6,-6.279462693812022,-5.719379801543956
5,2017-10-15,2017-10-18,2017-10-20,5,-6.097625379259575,-4.684675783093328
16,2020-12-20,2020-12-21,2020-12-25,5,-4.625631936716291,-2.4719152064029304
20,2021-02-10,2021-02-10,2021-02-11,1,-3.4744192318811318,0.0
18,2021-01-04,2021-01-04,2021-01-05,1,-3.064662023239373,0.0
10,2017-11-21,2017-11-23,2017-11-25,4,-2.338163662932302,-1.1262786166585492
11,2017-11-29,2017-11-29,2017-12-01,2,-2.110985369008167,-0.5844313313394189
9,2017-11-17,2017-11-17,2017-11-19,2,-2.101977239493935,-1.3040879903363223
21,2021-02-12,2021-02-13,2021-02-14,2,-1.700705302180494,-1.4215488129855847
22,2021-02-15,2021-02-15,2021-02-16,1,-1.3724173125208128,0.0
23,2021-02-18,2021-02-18,2021-02-19,1,-1.088091242257494,0.0
26,2021-03-12,2021-03-12,2021-03-13,1,-0.9544916705265916,0.0
1,2017-08-25,2017-08-25,2017-08-26,1,-0.8185801237717172,0.0
7,2017-10-30,2017-10-30,2017-10-31,1,-0.8019474941571847,0.0
17,2020-12-27,2020-12-27,2020-12-28,1,-0.7991804748278653,0.0
3,2017-08-30,2017-08-30,2017-08-31,1,-0.7049622014700718,0.0
2,2017-08-27,2017-08-27,2017-08-28,1,-0.6324006787413627,0.0
24,2021-02-20,2021-02-20,2021-02-21,1,-0.11592673416090937,0.0
